Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
J.T. Miller,'C',3/14/93,9,622,165,270,435,315,'0:30',16:39,3,116,134,-18,0.67,0.78,-0.1,124,7,1,1,1,'L','C',3/14/93,East Palestine,'OH','USA','USA',73,218,2011,1,15,20122013,2012,'N',623,165,270,435
Radek Faksa,'C',1/9/94,9,465,69,87,156,291,'0:37',15:45,4,109,124,-15,0.89,1.01,-0.12,114,9,0,1,0,'L','C',1/9/94,Vitkov,'--','CZE','CZE',75,220,2012,1,13,20152016,2015,'N',465,69,87,156
Benoit Pouliot,'L',9/29/86,6,625,130,133,263,371,'0:35',13:37,4.4,NaN,157,NaN,NaN,NaN,NaN,146,7,0,3,1,'L','L',9/29/86,Alfred,'ON','CAN','CAN',75,200,2005,1,4,20062007,2006,'N',625,130,133,263
Nick Jensen,'D',9/21/90,5,392,13,75,88,108,'0:16',18:03,1.5,65,48,17,0.55,0.41,0.14,44,4,0,0,0,'R','D',9/21/90,Rogers,'MN','USA','USA',73,205,2009,5,149,20162017,2016,'N',393,13,75,88
Chris Kreider,'L',4/30/91,14,639,221,187,408,495,'0:46',16:29,4.7,136,192,-56,0.77,1.09,-0.32,168,17,0,3,4,'L','L',4/30/91,Boxford,'MA','USA','USA',75,223,2009,1,19,20122013,2012,'N',639,221,187,408
Gabriel Landeskog,'L',11/23/92,18,738,248,323,571,601,'0:48',19:25,4.2,233,256,-23,0.98,1.07,-0.1,235,17,1,3,0,'L','L',11/23/92,Stockholm,'--','SWE','SWE',73,215,2011,1,2,20112012,2011,'N',738,248,323,571
Milan Michalek,'L',12/7/84,6,747,208,238,446,394,'0:31',17:31,3,NaN,180,NaN,NaN,NaN,NaN,172,6,0,1,1,'L','L',12/7/84,Jindrichuv Hradec,'--','CZE','CZE',74,225,2003,1,6,20032004,2003,'N',747,208,238,446
Colin Greening,'C',3/9/86,10,286,45,57,102,150,'0:31',14:13,3.7,59,55,4,0.87,0.81,0.06,44,10,0,1,0,'L','C',3/9/86,St. John's,'NL','CAN','CAN',74,210,2005,7,204,20102011,2010,'N',286,45,57,102
Ladislav Smid,'D',2/1/86,14,583,12,60,72,472,'0:48',18:22,4.4,NaN,188,NaN,NaN,NaN,NaN,166,16,0,4,2,'L','D',2/1/86,Frydlant,'--','CZE','CZE',76,210,2004,1,9,20062007,2006,'N',583,12,60,72
Rostislav Klesla,'D',3/21/82,11,659,48,111,159,620,'0:56',20:02,4.7,NaN,283,NaN,NaN,NaN,NaN,270,10,0,2,1,'L','D',3/21/82,Novy Jicin,'--','CZE','CZE',75,215,2000,1,4,20002001,2000,'N',659,48,111,159
Clarke MacArthur,'L',4/6/85,2,552,133,171,304,343,'0:37',15:32,4,NaN,142,NaN,NaN,NaN,NaN,133,3,0,5,1,'L','L',4/6/85,Lloydminster,'AB','CAN','CAN',72,192,2003,3,74,20062007,2006,'N',552,133,171,304
Alex Frolov,'L',6/19/82,0,579,175,222,397,218,'0:22',17:58,2.1,NaN,109,NaN,NaN,NaN,NaN,109,0,0,0,0,'R','L',6/19/82,Moscow,'--','RUS','RUS',74,210,2000,1,20,20022003,2002,'N',579,175,222,397
Claude Giroux,'R',1/12/88,5,1003,291,613,904,414,'0:24',19:36,2.1,NaN,189,NaN,NaN,NaN,NaN,183,4,0,2,0,'R','R',1/12/88,Hearst,'ON','CAN','CAN',71,185,2006,1,22,20072008,2007,'N',1003,291,613,904
Martin Hanzal,'C',2/20/87,9,673,127,211,338,574,'0:51',17:40,4.8,NaN,254,NaN,NaN,NaN,NaN,239,12,0,1,2,'L','C',2/20/87,Pisek,'--','CZE','CZE',78,230,2005,1,17,20072008,2007,'N',673,127,211,338
Rob Klinkhammer,'L',8/12/86,2,193,22,21,43,64,'0:19',11:16,2.9,49,28,21,1.35,0.77,0.58,26,2,0,0,0,'L','L',8/12/86,Lethbridge,'AB','CAN','CAN',75,214,NaN,NaN,NaN,20102011,2010,'N',193,22,21,43
Erik Johnson,'D',3/21/88,11,846,86,237,323,500,'0:35',21:41,2.7,NaN,194,NaN,NaN,NaN,NaN,170,16,1,2,5,'R','D',3/21/88,Bloomington,'MN','USA','USA',76,225,2006,1,1,20072008,2007,'N',846,86,237,323
Chris Porter,'L',5/29/84,3,234,15,19,34,39,'0:10',10:15,1.6,NaN,15,NaN,NaN,NaN,NaN,12,3,0,0,0,'L','L',5/29/84,Toronto,'ON','CAN','CAN',73,206,2003,9,282,20082009,2008,'N',234,15,19,34
