Player,Pos,DOB,DOB Year,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Tie Domi,R,1969-11-01,1969,270,"1,020",104,141,245,"3,515",3:26,--,--,--,864,--,--,--,--,470,273,0,95,26,R,R,1969-11-01,Windsor,ON,CAN,CAN,70,213,1988,2,27,19891990,1989,N,"1,020",104,141,245
Craig Berube,L,1965-12-17,1965,248,"1,054",61,98,159,"3,149",2:59,--,--,--,851,--,--,--,--,514,251,4,57,25,L,L,1965-12-17,Calahoo,AB,CAN,CAN,73,205,--,--,--,19861987,1986,N,"1,054",61,98,159
Chris Nilan,R,1958-02-09,1958,247,688,110,115,225,"3,043",4:25,--,--,--,754,--,--,--,--,420,231,3,73,27,R,R,1958-02-09,Boston,MA,USA,USA,72,205,1978,19,231,19791980,1979,N,688,110,115,225
Dave Williams,L,1954-02-03,1954,246,962,241,272,513,"3,971",4:07,--,--,--,"1,155",--,--,--,--,796,249,4,70,36,L,L,1954-02-03,Weyburn,SK,CAN,CAN,71,190,1974,2,31,19741975,1974,N,962,241,272,513
Rob Ray,R,1968-06-08,1968,239,900,41,50,91,"3,207",3:33,--,--,--,778,--,--,--,--,421,241,2,88,26,L,R,1968-06-08,Stirling,ON,CAN,CAN,72,222,1988,5,97,19891990,1989,N,900,41,50,91
Jeff Odgers,R,1969-05-31,1969,237,821,75,70,145,"2,364",2:52,--,--,--,641,--,--,--,--,352,246,0,26,17,R,R,1969-05-31,Spy Hill,SK,CAN,CAN,72,200,--,--,--,19911992,1991,N,821,75,70,145
Bob Probert,L,1965-06-05,1965,231,935,163,221,384,"3,300",3:31,--,--,--,964,--,--,--,--,644,238,7,42,33,L,L,1965-06-05,Windsor,ON,CAN,CAN,75,220,1983,3,46,19851986,1985,N,935,163,221,384
Marty McSorley,D,1963-05-18,1963,226,961,108,251,359,"3,381",3:31,--,--,--,933,--,--,--,--,607,221,2,70,33,R,D,1963-05-18,Cayuga,ON,CAN,CAN,74,235,--,--,--,19831984,1983,N,961,108,251,359
Joey Kocur,R,1964-12-21,1964,211,820,80,82,162,"2,519",3:04,--,--,--,725,--,--,--,--,460,213,3,31,18,R,R,1964-12-21,Calgary,AB,CAN,CAN,72,222,1983,5,88,19841985,1984,N,820,80,82,162
Stu Grimson,L,1965-05-20,1965,210,729,17,22,39,"2,113",2:53,--,--,--,566,--,--,--,--,308,217,0,27,14,L,L,1965-05-20,Kamloops,BC,CAN,CAN,77,239,1985,7,143,19881989,1988,N,729,17,22,39
Donald Brashear,L,1972-01-07,1972,208,"1,025",85,120,205,"2,634",2:34,--,--,--,763,--,--,--,--,490,216,1,41,15,L,L,1972-01-07,Bedford,IN,USA,USA,75,237,--,--,--,19931994,1993,N,"1,025",85,120,205
Basil McRae,L,1961-01-05,1961,204,576,53,83,136,"2,457",4:15,--,--,--,586,--,--,--,--,300,201,3,66,16,L,L,1961-01-05,Beaverton,ON,CAN,CAN,74,210,1980,5,87,19811982,1981,N,576,53,83,136
Ian Laperriere,R,1974-01-19,1974,203,"1,083",121,215,336,"1,956",1:48,--,--,--,559,--,--,--,--,327,204,0,18,10,R,R,1974-01-19,Montreal,QC,CAN,CAN,73,200,1992,7,158,19931994,1993,N,"1,083",121,215,336
Garry Howatt,L,1952-09-26,1952,198,720,112,156,268,"1,836",2:33,--,--,--,575,--,--,--,--,374,186,0,7,8,R,L,1952-09-26,Grande Cache,AB,CAN,CAN,69,175,1972,10,144,19721973,1972,N,720,112,156,268
Kelly Buchberger,R,1966-12-02,1966,198,"1,182",105,204,309,"2,297",1:56,--,--,--,667,--,--,--,--,420,203,0,28,16,L,R,1966-12-02,Langenburg,SK,CAN,CAN,74,200,1985,9,188,19871988,1987,N,"1,182",105,204,309
Tim Hunter,R,1960-09-10,1960,196,815,62,76,138,"3,146",3:51,--,--,--,873,--,--,--,--,573,202,1,57,40,R,R,1960-09-10,Calgary,AB,CAN,CAN,74,200,1979,3,54,19811982,1981,N,815,62,76,138
Matthew Barnaby,R,1973-05-04,1973,191,834,113,187,300,"2,562",3:04,--,--,--,712,--,--,--,--,446,198,1,48,19,L,R,1973-05-04,Ottawa,ON,CAN,CAN,73,191,1992,4,83,19921993,1992,N,834,113,187,300
Ken Baumgartner,L,1966-03-11,1966,186,696,13,41,54,"2,242",3:13,--,--,--,605,--,--,--,--,356,192,0,39,18,L,L,1966-03-11,Flin Flon,MB,CAN,CAN,73,205,1985,12,245,19871988,1987,N,696,13,41,54
Chris Neil,R,1979-06-18,1979,185,"1,026",112,138,250,"2,522",2:27,10:58,22.4,--,743,--,--,--,--,503,178,0,53,9,R,R,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,6,161,20012002,2001,N,"1,026",112,138,250
Mick Vukota,R,1966-09-14,1966,184,573,17,29,46,"2,071",3:36,--,--,--,538,--,--,--,--,298,185,0,42,13,R,R,1966-09-14,Saskatoon,SK,CAN,CAN,73,225,--,--,--,19871988,1987,N,573,17,29,46
Jared Boll,R,1986-05-13,1986,178,579,28,38,66,"1,298",2:14,7:34,29.6,--,327,--,--,--,--,138,174,0,9,6,R,R,1986-05-13,Charlotte,NC,USA,USA,75,206,2005,4,101,20072008,2007,N,579,28,38,66
Brian Sutter,L,1956-10-07,1956,174,779,303,333,636,"1,786",2:17,--,--,--,568,--,--,--,--,386,164,1,12,5,L,L,1956-10-07,Viking,AB,CAN,CAN,70,180,1976,2,20,19761977,1976,N,779,303,333,636
Willi Plett,R,1955-06-07,1955,173,834,222,215,437,"2,570",3:04,--,--,--,849,--,--,--,--,645,154,6,26,18,R,R,1955-06-07,Asuncion,--,PRY,PRY,75,205,1975,5,80,19751976,1975,N,834,222,215,437
Jody Shelley,L,1976-02-07,1976,173,627,18,36,54,"1,538",2:27,6:08,39.9,--,400,--,--,--,--,199,174,1,19,7,L,L,1976-02-07,Thompson,MB,CAN,CAN,75,230,--,--,--,20002001,2000,N,627,18,36,54
Mike Peluso,L,1965-11-08,1965,172,458,38,52,90,"1,951",4:15,--,--,--,481,--,--,--,--,248,175,0,38,20,L,L,1965-11-08,Pengilly,MN,USA,USA,76,225,1984,10,191,19891990,1989,N,458,38,52,90
Kelly Chase,R,1967-10-25,1967,171,458,17,36,53,"2,017",4:24,--,--,--,476,--,--,--,--,236,171,0,44,25,R,R,1967-10-25,Porcupine Plain,SK,CAN,CAN,71,201,--,--,--,19891990,1989,N,458,17,36,53
Jim McKenzie,L,1969-11-03,1969,171,880,48,52,100,"1,739",1:58,--,--,--,443,--,--,--,--,227,175,2,19,20,L,L,1969-11-03,Gull Lake,SK,CAN,CAN,76,230,1989,4,73,19891990,1989,N,880,48,52,100
Terry O'Reilly,R,1951-06-07,1951,170,891,204,402,606,"2,095",2:21,--,--,--,655,--,--,--,--,461,157,0,21,16,R,R,1951-06-07,Niagara Falls,ON,CAN,CAN,73,200,1971,1,14,19711972,1971,N,891,204,402,606
Jay Miller,L,1960-07-16,1960,170,446,40,44,84,"1,723",3:51,--,--,--,425,--,--,--,--,212,167,0,29,17,L,L,1960-07-16,Natick,MA,USA,USA,74,210,1980,4,66,19851986,1985,N,446,40,44,84
