Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Brian Chapman,'D',2/10/68,1,3,0,0,0,29,580,'--','--','--',5,'--','--','--','--',2,1,0,1,1,'L','D',2/10/68,Brockville,'ON','CAN','CAN',74,206,1986,4,74,19901991,1990.00,'N',3,0,0,0
Eric Selleck,'L',10/20/87,4,3,0,1,1,22,440,'8:27','86.7','2',4,'-2','4.73','9.46','-4.73',1,2,0,0,1,'L','L',10/20/87,Brockville,'ON','CAN','CAN',74,208,NaN,NaN,NaN,20122013,2012.00,'N',3,0,1,1
Bob Bodak,'L',5/28/61,3,4,0,0,0,29,435,'--','--','--',6,'--','--','--','--',2,3,0,1,0,'L','L',5/28/61,Thunder Bay,'ON','CAN','CAN',74,200,NaN,NaN,NaN,19871988,1987.00,'N',4,0,0,0
Danny Bois,'R',6/1/83,1,1,0,0,0,7,420,'3:53','180.3','--',2,'--','--','--','--',1,1,0,0,0,'R','R',6/1/83,Thunder Bay,'ON','CAN','CAN',72,196,2001,3,97,20062007,2006.00,'N',1,0,0,0
Richard Brown,'L',5/15/69,1,1,0,0,0,7,420,'--','--','--',2,'--','--','--','--',1,1,0,0,0,'L','L',5/15/69,Prince Albert,'SK','CAN','CAN',73,210,NaN,NaN,NaN,19901991,1990.00,'N',1,0,0,0
Jason Simon,'L',3/21/69,1,5,0,0,0,34,408,'--','--','--',6,'--','--','--','--',2,2,0,2,0,'L','L',3/21/69,Sarnia,'ON','CAN','CAN',73,220,1989,11,215,19931994,1993.00,'N',5,0,0,0
Jacques Mailhot,'L',12/5/61,3,5,0,0,0,33,396,'--','--','--',8,'--','--','--','--',4,3,0,1,0,'L','L',12/5/61,Shawinigan,'QC','CAN','CAN',75,220,NaN,NaN,NaN,19881989,1988.00,'N',5,0,0,0
Link Gaetz,'D',10/2/68,17,65,6,8,14,412,380,'--','--','--',132,'--','--','--','--',101,20,0,5,6,'L','D',10/2/68,Vancouver,'BC','CAN','CAN',74,223,1988,2,40,19881989,1988.00,'N',65,6,8,14
Paul Higgins,'R',1/13/62,7,26,0,0,0,152,350,'--','--','--',28,'--','--','--','--',11,8,0,4,5,'R','R',1/13/62,St. John,'NB','CAN','CAN',73,195,1980,10,200,19811982,1981.00,'N',26,0,0,0
Chris McRae,'L',8/25/65,13,21,1,0,1,122,348,'--','--','--',28,'--','--','--','--',11,14,0,3,0,'L','L',8/25/65,Beaverton,'ON','CAN','CAN',72,200,NaN,NaN,NaN,19871988,1987.00,'N',21,1,0,1
Mike Vellucci,'D',8/11/66,1,2,0,0,0,11,330,'--','--','--',4,'--','--','--','--',3,1,0,0,0,'L','D',8/11/66,Detroit,'MI','USA','USA',72,180,1984,7,131,19871988,1987.00,'N',2,0,0,0
Dave Morissette,'L',12/24/71,7,11,0,0,0,57,310,'2:21','219.2','--',10,'--','--','--','--',1,7,0,2,0,'L','L',12/24/71,Baie-Comeau,'QC','CAN','CAN',73,224,1991,7,146,19981999,1998.00,'N',11,0,0,0
Steve Durbano,'D',12/12/51,39,220,13,60,73,"1,127",307,'--','--','--',314,'--','--','--','--',221,49,1,23,20,'L','D',12/12/51,Toronto,'ON','CAN','CAN',73,210,1971,1,13,19721973,1972.00,'N',220,13,60,73
Marc Labelle,'L',12/20/69,6,9,0,0,0,46,306,'--','--','--',10,'--','--','--','--',3,6,0,1,0,'L','L',12/20/69,Maniwaki,'QC','CAN','CAN',73,215,NaN,NaN,NaN,19961997,1996.00,'N',9,0,0,0
Bruce Greig,'L',5/9/53,2,9,0,1,1,46,306,'--','--','--',12,'--','--','--','--',8,2,0,1,1,'L','L',5/9/53,High River,'AB','CAN','CAN',74,220,1973,8,114,19731974,1973.00,'N',9,0,1,1
Peter Leboutillier,'R',1/11/75,12,35,2,1,3,176,301,'--','--','--',30,'--','--','--','--',8,12,0,6,4,'R','R',1/11/75,Neepawa,'MB','CAN','CAN',73,198,1995,6,133,19961997,1996.00,'N',35,2,1,3
Daniel Walcott,'L',2/19/94,1,1,0,0,0,5,300,'10:03','49.8','1',1,'0','5.97','5.97','0',0,1,0,0,0,'L','L',2/19/94,Ile Perrot,'QC','CAN','CAN',73,175,2014,5,140,20202021,2020.00,'N',1,0,0,0
Jeremy Yablonski,'R',3/21/80,1,1,0,0,0,5,300,'7:53','63.4','--',1,'--','--','--','--',0,1,0,0,0,'R','R',3/21/80,Meadow Lake,'SK','CAN','CAN',71,239,NaN,NaN,NaN,20032004,2003.00,'N',1,0,0,0
Sean Selmser,'L',11/10/74,1,1,0,0,0,5,300,'11:03','45.3','--',1,'--','--','--','--',0,1,0,0,0,'L','L',11/10/74,Calgary,'AB','CAN','CAN',73,182,1993,7,182,20002001,2000.00,'N',1,0,0,0
Brian Wesenberg,'R',5/9/77,1,1,0,0,0,5,300,'1:08','441.2','--',1,'--','--','--','--',0,1,0,0,0,'R','R',5/9/77,Peterborough,'ON','CAN','CAN',75,173,1995,2,29,19981999,1998.00,'N',1,0,0,0
Mitchell Molloy,'L',10/10/65,2,2,0,0,0,10,300,'--','--','--',2,'--','--','--','--',0,2,0,0,0,'L','L',10/10/65,Balmertown,'ON','CAN','CAN',75,211,NaN,NaN,NaN,19891990,1989.00,'N',2,0,0,0
Thomas Di Pauli,'C',4/29/94,0,2,0,0,0,10,300,'5:59','83.6','1',1,'0','5.01','5.01','0',0,0,0,1,0,'L','C',4/29/94,Woodbridge,'IL','USA','USA',71,188,2012,4,100,20192020,2019.00,'N',2,0,0,0
Curtis Hamilton,'L',12/4/91,0,1,0,0,0,5,300,'8:01','62.4','0',1,'-1','0','7.48','-7.48',0,1,0,0,0,'L','L',12/4/91,Tacoma,'WA','USA','USA',74,212,2010,2,48,20142015,2014.00,'N',1,0,0,0
Darryl Williams,'R',2/29/68,0,2,0,0,0,10,300,'--','--','--',1,'--','--','--','--',0,0,0,1,0,'L','R',2/29/68,Labrador City,'NL','CAN','CAN',71,185,NaN,NaN,NaN,19921993,1992.00,'N',2,0,0,0
Steve Martinson,'L',6/21/57,19,49,2,1,3,244,298,'--','--','--',56,'--','--','--','--',27,20,0,8,1,'L','L',6/21/57,Minnetonka,'MN','USA','USA',73,205,NaN,NaN,NaN,19871988,1987.00,'N',49,2,1,3
Kevin Evans,'L',7/10/65,3,9,0,1,1,44,293,'--','--','--',8,'--','--','--','--',2,4,0,2,0,'L','L',7/10/65,Peterborough,'ON','CAN','CAN',69,185,NaN,NaN,NaN,19901991,1990.00,'N',9,0,1,1
Peter Bakovic,'R',1/31/65,4,10,2,0,2,48,288,'--','--','--',10,'--','--','--','--',4,4,0,1,1,'R','R',1/31/65,Thunder Bay,'ON','CAN','CAN',74,200,NaN,NaN,NaN,19871988,1987.00,'N',10,2,0,2
